t,periodic_func
863,9.424777960766605
864,9.424777960778336
865,9.424777960790065
866,9.424777960758938
867,9.424777960770669
868,9.4247779607824
869,9.42477796079413
870,9.424777960763002
871,9.424777960774733
872,9.424777960786464
873,9.424777960798194
874,9.424777960767067
875,9.424777960778796
876,9.424777960790529
877,9.4247779607594
878,9.42477796077113
879,9.42477796078286
880,9.424777960794593
881,9.424777960763464
882,9.424777960775195
883,9.424777960786926
884,9.424777960798657
885,9.424777960767528
886,9.42477796077926
887,9.42477796079099
888,9.424777960759862
889,9.424777960771593
890,9.424777960783324
891,9.424777960795055
892,9.424777960763926
893,9.424777960775657
894,9.424777960787388
895,9.42477796079912
896,9.42477796076799
897,9.424777960779721
898,9.42477796079145
899,9.424777960760323
900,9.424777960772055
901,9.424777960783786
902,9.424777960795515
903,9.424777960764388
904,9.424777960776117
905,9.42477796078785
906,9.42477796079958
907,9.424777960768452
908,9.424777960780181
909,9.424777960791914
910,9.424777960760785
911,9.424777960772516
912,9.424777960784246
913,9.424777960795979
914,9.42477796076485
915,9.42477796077658
916,9.424777960788312
917,9.424777960800041
918,9.424777960768914
919,9.424777960780645
920,9.424777960792376
921,9.424777960761247
922,9.424777960772978
923,9.42477796078471
924,9.42477796079644
925,9.424777960765311
926,9.424777960777043
927,9.424777960788772
928,9.424777960800505
929,9.424777960769376
930,9.424777960781107
931,9.424777960792836
932,9.424777960761709
933,9.42477796077344
934,9.424777960785171
935,9.4247779607969
936,9.424777960765773
937,9.424777960777503
938,9.424777960789235
939,9.424777960800965
940,9.424777960769838
941,9.424777960781567
942,9.4247779607933
943,9.424777960762171
944,9.424777960773902
945,9.424777960785631
946,9.424777960797364
947,9.424777960766235
948,9.424777960777966
949,9.424777960789697
950,9.424777960801427
951,9.4247779607703
952,9.42477796078203
953,9.424777960793762
954,9.424777960762633
955,9.424777960774364
956,9.424777960786093
957,9.424777960797826
958,9.424777960766697
959,9.424777960778428
960,9.424777960790157
961,9.42477796080189
962,9.424777960770761
963,9.424777960782492
964,9.424777960794222
965,9.424777960763095
966,9.424777960774824
967,9.424777960786557
968,9.424777960798286
969,9.424777960767159
970,9.424777960778888
971,9.424777960790621
972,9.424777960759492
973,9.424777960771223
974,9.424777960782952
975,9.424777960794685
976,9.424777960763556
977,9.424777960775288
978,9.424777960787017
979,9.424777960798748
980,9.42477796076762
981,9.424777960779352
982,9.424777960791083
983,9.424777960759954
984,9.424777960771685
985,9.424777960783414
986,9.424777960795147
987,9.424777960764018
988,9.42477796077575
989,9.424777960787479
990,9.424777960799211
991,9.424777960768083
992,9.424777960779814
993,9.424777960791543
994,9.424777960760416
995,9.424777960772145
996,9.424777960783878
997,9.424777960795607
998,9.42477796076448
999,9.42477796077621
1000,9.424777960787942
1001,9.424777960799672
1002,9.424777960768544
1003,9.424777960780274
1004,9.424777960792007
1005,9.424777960760878
1006,9.424777960772609
1007,9.424777960784338
1008,9.424777960796069
1009,9.424777960764942
1010,9.424777960776673
1011,9.424777960788402
1012,9.424777960800133
1013,9.424777960769006
1014,9.424777960780737
1015,9.424777960792468
1016,9.42477796076134
1017,9.42477796077307
1018,9.4247779607848
1019,9.424777960796533
1020,9.424777960765404
1021,9.424777960777135
1022,9.424777960788864
1023,9.424777960800597
1024,9.424777960769466
1025,9.4247779607812
1026,9.424777960792929
1027,9.424777960761801
1028,9.42477796077353
1029,9.424777960785264
1030,9.424777960796993
1031,9.424777960765866
1032,9.424777960777595
1033,9.424777960789328
1034,9.424777960801057
1035,9.42477796076993
1036,9.42477796078166
1037,9.42477796079339
1038,9.424777960762263
1039,9.424777960773994
1040,9.424777960785724
1041,9.424777960797455
1042,9.424777960766328
1043,9.424777960778059
1044,9.424777960789788
1045,9.424777960801519
1046,9.424777960770392
1047,9.424777960782121
1048,9.424777960793854
1049,9.424777960762725
1050,9.424777960774456
1051,9.424777960786185
1052,9.424777960797918
1053,9.42477796076679
1054,9.42477796077852
1055,9.42477796079025
1056,9.424777960801983
1057,9.424777960770852
1058,9.424777960782585
1059,9.424777960794314
1060,9.424777960763185
1061,9.424777960774916
1062,9.424777960786649
1063,9.424777960798378
1064,9.424777960767251
1065,9.42477796077898
1066,9.424777960790713
1067,9.424777960802443
1068,9.424777960771316
1069,9.424777960783045
1070,9.424777960794776
1071,9.424777960763649
1072,9.42477796077538
1073,9.42477796078711
1074,9.42477796079884
1075,9.424777960767713
1076,9.424777960779442
1077,9.424777960791173
1078,9.424777960802905
1079,9.424777960771777
1080,9.424777960783507
1081,9.42477796079524
1082,9.42477796076411
1083,9.424777960775842
1084,9.424777960787571
1085,9.424777960799304
1086,9.424777960768173
1087,9.424777960779906
1088,9.424777960791635
1089,9.424777960760506
1090,9.424777960772238
1091,9.42477796078397
1092,9.4247779607957
1093,9.42477796076457
1094,9.424777960776302
1095,9.424777960788035
1096,9.424777960799764
1097,9.424777960768637
1098,9.424777960780366
1099,9.424777960792097
1100,9.42477796076097
1101,9.424777960772701
1102,9.42477796078443
1103,9.424777960796161
1104,9.424777960765034
1105,9.424777960776765
1106,9.424777960788495
1107,9.424777960800226
1108,9.424777960769099
1109,9.424777960780828
1110,9.424777960792559
1111,9.424777960761432
1112,9.424777960773163
1113,9.424777960784892
1114,9.424777960796625
1115,9.424777960765494
1116,9.424777960777227
1117,9.424777960788957
1118,9.42477796080069
1119,9.424777960769559
1120,9.424777960781292
1121,9.42477796079302
1122,9.424777960761892
1123,9.424777960773623
1124,9.424777960785356
1125,9.424777960797085
1126,9.424777960765956
1127,9.424777960777687
1128,9.424777960789418
1129,9.42477796080115
1130,9.424777960770022
1131,9.424777960781752
1132,9.424777960793483
1133,9.424777960762356
1134,9.424777960774087
1135,9.424777960785816
1136,9.424777960797547
1137,9.42477796076642
1138,9.42477796077815
1139,9.42477796078988
1140,9.424777960801611
1141,9.424777960770482
1142,9.424777960782214
1143,9.424777960793945
1144,9.424777960762816
1145,9.424777960774549
1146,9.424777960786278
1147,9.42477796079801
1148,9.42477796076688
1149,9.424777960778613
1150,9.424777960790342
1151,9.424777960802073
1152,9.424777960770944
1153,9.424777960782677
1154,9.424777960794406
1155,9.424777960763278
1156,9.424777960775009
1157,9.42477796078674
1158,9.42477796079847
1159,9.424777960767342
1160,9.424777960779073
1161,9.424777960790804
1162,9.424777960802535
1163,9.424777960771408
1164,9.424777960783137
1165,9.424777960794868
1166,9.424777960763741
1167,9.42477796077547
1168,9.424777960787202
1169,9.424777960798933
1170,9.424777960767804
1171,9.424777960779535
1172,9.424777960791266
1173,9.424777960802997
1174,9.424777960771868
1175,9.424777960783599
1176,9.424777960795328
1177,9.424777960764201
1178,9.424777960775934
1179,9.424777960787663
1180,9.424777960799394
1181,9.424777960768266
1182,9.424777960779998
1183,9.424777960791728
1184,9.424777960803459
1185,9.42477796077233
1186,9.424777960784063
1187,9.424777960795792
1188,9.424777960764663
1189,9.424777960776394
1190,9.424777960788125
1191,9.424777960799856
1192,9.424777960768727
1193,9.424777960780458
1194,9.42477796079219
1195,9.424777960803919
1196,9.424777960772792
1197,9.424777960784523
1198,9.424777960796254
1199,9.424777960765127
1200,9.424777960776856
1201,9.424777960788587
1202,9.424777960800318
1203,9.42477796076919
1204,9.42477796078092
1205,9.42477796079265
1206,9.424777960804382
1207,9.424777960773254
1208,9.424777960784985
1209,9.424777960796716
1210,9.424777960765587
1211,9.42477796077732
1212,9.424777960789049
1213,9.42477796080078
1214,9.424777960769651
1215,9.424777960781384
1216,9.424777960793113
1217,9.424777960804844
1218,9.424777960773715
1219,9.424777960785446
1220,9.424777960797178
1221,9.424777960766049
1222,9.42477796077778
1223,9.42477796078951
1224,9.424777960801242
1225,9.424777960770115
1226,9.424777960781844
1227,9.424777960793575
1228,9.424777960762448
1229,9.424777960774177
1230,9.424777960785908
1231,9.42477796079764
1232,9.42477796076651
1233,9.424777960778242
1234,9.42477796078997
1235,9.424777960801704
1236,9.424777960770575
1237,9.424777960782306
1238,9.424777960794035
1239,9.424777960762908
1240,9.42477796077464
1241,9.42477796078637
1242,9.424777960798101
1243,9.424777960766972
1244,9.424777960778705
1245,9.424777960790435
1246,9.424777960802166
1247,9.424777960771037
1248,9.424777960782768
1249,9.424777960794499
1250,9.42477796076337
1251,9.424777960775101
1252,9.424777960786832
1253,9.424777960798563
1254,9.424777960767434
1255,9.424777960779165
1256,9.424777960790896
1257,9.424777960802626
1258,9.424777960771499
1259,9.42477796078323
1260,9.42477796079496
1261,9.424777960763832
1262,9.424777960775563
1263,9.424777960787294
1264,9.424777960799025
1265,9.424777960767896
1266,9.424777960779627
1267,9.424777960791356
1268,9.42477796080309
1269,9.42477796077196
1270,9.424777960783691
1271,9.42477796079542
1272,9.424777960764294
1273,9.424777960776023
1274,9.424777960787756
1275,9.424777960799487
1276,9.424777960768358
1277,9.42477796078009
1278,9.42477796079182
1279,9.424777960803551
1280,9.424777960772422
1281,9.424777960784153
1282,9.424777960795884
1283,9.424777960764755
1284,9.424777960776487
1285,9.424777960788218
1286,9.424777960799947
1287,9.42477796076882
1288,9.42477796078055
1289,9.424777960792282
1290,9.424777960804011
1291,9.424777960772884
1292,9.424777960784615
1293,9.424777960796346
1294,9.424777960765217
1295,9.424777960776948
1296,9.424777960788678
1297,9.42477796080041
1298,9.424777960769282
1299,9.424777960781013
1300,9.424777960792742
1301,9.424777960804475
1302,9.424777960773344
1303,9.424777960785077
1304,9.424777960796806
1305,9.42477796080854
1306,9.424777960777408
1307,9.424777960746281
1308,9.424777960800872
1309,9.424777960769744
1310,9.424777960824334
1311,9.424777960793206
1312,9.424777960762077
1313,9.424777960816666
1314,9.424777960785539
1315,9.42477796075441
1316,9.424777960809001
1317,9.424777960777872
1318,9.424777960746743
1319,9.424777960801332
1320,9.424777960770205
1321,9.424777960824795
1322,9.424777960793667
1323,9.424777960762539
1324,9.42477796081713
1325,9.424777960785999
1326,9.424777960754872
1327,9.424777960809461
1328,9.424777960778334
1329,9.424777960747205
1330,9.424777960801796
1331,9.424777960770667
1332,9.424777960825256
1333,9.424777960794128
1334,9.424777960763
1335,9.42477796081759
1336,9.424777960786463
1337,9.424777960755334
1338,9.424777960809923
1339,9.424777960778794
1340,9.424777960747667
1341,9.424777960802258
1342,9.424777960771129
1343,9.42477796082572
1344,9.424777960794591
1345,9.424777960763462
1346,9.424777960818052
1347,9.424777960786924
1348,9.424777960755796
1349,9.424777960810387
1350,9.424777960779258
1351,9.424777960748129
1352,9.424777960802718
1353,9.424777960771591
1354,9.42477796082618
1355,9.424777960795053
1356,9.424777960763924
1357,9.424777960818515
1358,9.424777960787385
1359,9.424777960756257
1360,9.424777960810847
1361,9.42477796077972
1362,9.42477796074859
1363,9.424777960803182
1364,9.424777960772051
1365,9.424777960826642
1366,9.424777960795513
1367,9.424777960764386
1368,9.424777960818975
1369,9.424777960787848
1370,9.42477796075672
1371,9.424777960811308
1372,9.424777960780181
1373,9.424777960749052
1374,9.424777960803643
1375,9.424777960772515
1376,9.424777960827106
1377,9.424777960795975
1378,9.424777960764848
1379,9.424777960819437
1380,9.42477796078831
1381,9.424777960757181
1382,9.424777960811772
1383,9.424777960780643
1384,9.424777960749514
1385,9.424777960804104
1386,9.424777960772976
1387,9.424777960827566
1388,9.424777960796439
1389,9.42477796076531
1390,9.424777960819899
1391,9.42477796078877
1392,9.424777960757643
1393,9.424777960812232
1394,9.424777960781105
1395,9.424777960749976
1396,9.424777960804567
1397,9.424777960773437
1398,9.424777960828028
1399,9.424777960796899
1400,9.424777960765772
1401,9.42477796082036
1402,9.424777960789234
1403,9.424777960758105
1404,9.424777960812694
1405,9.424777960781567
1406,9.424777960750438
1407,9.424777960805029
1408,9.4247779607739
1409,9.424777960828491
1410,9.42477796079736
1411,9.424777960766233
1412,9.424777960820823
1413,9.424777960789696
1414,9.424777960758567
1415,9.424777960813158
1416,9.424777960782027
1417,9.4247779607509
1418,9.42477796080549
1419,9.424777960774362
1420,9.424777960743233
1421,9.424777960797824
1422,9.424777960766695
1423,9.424777960821284
1424,9.424777960790156
1425,9.424777960759029
1426,9.424777960813618
1427,9.42477796078249
1428,9.424777960751362
1429,9.424777960805951
1430,9.424777960774822
1431,9.424777960743695
1432,9.424777960798284
1433,9.424777960767157
1434,9.424777960821746
1435,9.42477796079062
1436,9.42477796075949
1437,9.42477796081408
1438,9.424777960782952
1439,9.424777960751824
1440,9.424777960806415
1441,9.424777960775286
1442,9.424777960744157
1443,9.424777960798746
1444,9.424777960767619
1445,9.424777960822208
1446,9.424777960791081
1447,9.424777960759952
1448,9.424777960814543
1449,9.424777960783413
1450,9.424777960752285
1451,9.424777960806875
1452,9.424777960775748
1453,9.424777960744619
1454,9.42477796079921
1455,9.42477796076808
1456,9.42477796082267
1457,9.424777960791541
1458,9.424777960760414
1459,9.424777960815003
1460,9.424777960783876
1461,9.424777960752747
1462,9.424777960807337
1463,9.424777960776208
1464,9.42477796074508
1465,9.42477796079967
1466,9.424777960768543
1467,9.42477796082313
1468,9.424777960792003
1469,9.424777960760876
1470,9.424777960815465
1471,9.424777960784338
1472,9.42477796075321
1473,9.4247779608078
1474,9.42477796077667
1475,9.424777960745542
1476,9.424777960800132
1477,9.424777960769005
1478,9.424777960823594
1479,9.424777960792467
1480,9.424777960761338
1481,9.424777960815927
1482,9.424777960784798
1483,9.424777960753671
1484,9.42477796080826
1485,9.424777960777133
1486,9.424777960746004
1487,9.424777960800593
1488,9.424777960769465
1489,9.424777960824056
1490,9.424777960792927
1491,9.4247779607618
1492,9.424777960816389
